serverId,name,categories
1,FastGens,gens
2,Lifesteal,smp|pvp|minigames
3,GensFood,gens
4,LunarBlock,skyblock|farming
5,ScuffleMC,oldPVP|pvp|gens
6,BoxMiningX,pvp|box|minigames
7,Boxers,pvp|smp|rpg|farming|factions
8,DupeTop,smp|pvp
9,mlum,prison|rolePlay
10,LoopGens,gens|pvp|minigames
11,FastBox,pvp|box
12,Rkits,pvp
13,SkyHaste,gens|prison|rpg
14,StealGens,gens|pvp|farming
15,JustBox,pvp|gens|box
16,Li4esteal,smp|minigames|pvp
17,BlzeSteal,smp|factions|pvp
18,10LivesSMP,smp|pvp|factions
19,BoxSteal,pvp|smp|box
20,Flicked,smp|pvp
21,Hotter,pvp|smp|factions
22,PlayInABox,pvp|box|gens|smp
23,BozoBoxer,pvp|smp|box
24,LLbox,box|pvp
25,boxcon,pvp|box
26,Lightskies,pvp|prison
27,GrindyBox,farming|box|skyblock
28,PaperBlok,pvp
29,TulpCraft,minigames|smp|pvp
30,LizziBox,pvp|gens|box
31,LemonRealms,smp
32,Weaken,pvp
33,BeeGens,gens|farming|prison
34,Golf,minigames
35,BoxJosh,pvp|box|farming
36,ShockNetwork,smp|pvp|factions
37,LeonePvP,oldPVP|pvp|minigames
38,PetRPG,rpg|modded|smp
39,VividGens,gens|farming
40,Warp,modded|pvp|smp
41,AcidGens,gens|farming|pvp
42,LocalBox,pvp|box
43,LifeSt3alX,smp|pvp|minigames
44,ExpressGen,gens
45,MagicBound,rpg|pvp
46,onlyoneblock,minigames|skyblock
47,MyjerFarms,farming|minigames
48,Minting,smp|pvp|modded
49,florial,smp|rpg|factions
50,BOXDOOM,pvp|farming|box
51,ShrimpBox,pvp|box
52,LiveStealX,smp|pvp|minigames
53,Cobblestone,farming|pvp|prison
54,bleuu,smp|factions|pvp
55,WildMiner,farming|prison|pvp
56,ViceGens,gens|pvp|skyblock
57,LabTrials,minigames|pvp|modded
58,Towerhub,pvp
59,FractelBox,pvp|gens|box
60,WoodnessBox,pvp|modded|box
61,UseBoxMine,pvp|box
62,SheeshBox,pvp|prison|box
63,DemonicBox,pvp|box
64,BasicCraft,smp|rpg|farming
65,macbox,pvp|box
66,Restland,smp|rpg|skyblock|rolePlay
67,Drip,oldPVP|pvp|box
68,hindrix,smp|pvp|rolePlay
69,murtsbox,pvp|box
70,RatBoxX,pvp|box
71,LifeBoxer,pvp|box
72,ZeroNetwork,smp|box|creative
73,Warzone,oldPVP|pvp|minigames
74,CookiesNMilk,smp
75,LavaS,gens|pvp|smp
76,CampusRP,rolePlay
77,WildKits,pvp
78,1Hour1Life,smp|factions|rolePlay
79,CherryPR,prison|farming
80,KristalBox,factions|pvp|farming
81,Site05,prison|pvp|rpg
82,CreativeCaos,creative
83,onbox,pvp|modded|rpg
84,100x100land,modded|pvp|farming
85,LIfeGainZSMP,smp|pvp
86,BanLife,prison|smp
87,EditionBox,box|pvp
88,randumbox,minigames|gens|pvp
89,L1feste4lz,smp|pvp|factions
90,DupeXCraft,smp|factions|pvp
91,BoxRIP,pvp|farming|gens|box|minigames
92,ErosionBox,box|prison|gens
93,HeroCL,rpg|pvp|farming
94,FunKits,pvp|minigames
95,SolarGN,gens|pvp|farming
96,RankMining,rpg
97,iGenZ,gens|farming|pvp
98,ShulkerRPG,rpg|pvp
99,LuckMinez,rpg|prison|pvp
100,prisonade,prison|farming|box
101,zoon,pvp|box
102,Arsis,pvp
103,samibox,gens|pvp|box
104,Boxlotl,pvp|minigames
105,AffinityBox,prison|minigames
106,ZombieCl,rpg|farming
107,TridexSMP,smp|pvp|farming
108,wyndbox,pvp|farming|box
109,EggClicker,gens|minigames|farming
110,zomy,smp
111,ruinedskies,pvp|box|prison
112,BoxFFA,pvp
113,NodeDupe,smp|pvp|factions
114,CoolGuns,pvp|modded|rolePlay
115,Cropied,smp|gens|prison
116,XENABOX,pvp|box|rpg
117,NaxBox,box|pvp
118,NoteGen,gens
119,BillyVoid,skyblock|oldPVP
120,gooknation,pvp
121,WyrmRPG,rpg|smp|rolePlay
122,VejpBox,pvp|box|farming
123,fewer,smp|minigames|pvp|farming
124,BattlePet,rpg|skyblock|modded
125,M4ST,smp
126,ogrestupe,smp
127,MythBox,pvp|rpg|farming
128,GunsBox,minigames|pvp|modded
129,Alexonica,box|pvp|smp
130,PurityBox,gens|pvp|prison
131,MaxFarms,farming|pvp|minigames
132,frawlBox,pvp|factions
133,mexicanspvp,smp|pvp
134,OwlMines,prison|modded|pvp
135,BeserkBox,box
136,Elict,smp|pvp|minigames
137,skyminingf,skyblock|pvp|smp|farming
138,HexanPR,prison
139,Lifesteasmp8,smp
140,CosmicBoxV,box
141,bladeb0x,box|farming|pvp
142,Cavedbox,pvp|farming|box
143,SMPServer118,smp
144,RyseBox,pvp|farming
145,smp576,pvp|smp
146,FlowerHatSMP,smp
147,NeverW1pe,gens|pvp
148,BoxIsEZ,pvp|farming
149,OnyxGens,gens|farming|pvp
150,LvlUpSkies,rpg|skyblock
151,FloraSteal,smp|pvp
152,RelaxBox,pvp|box|farming
153,VVBox,pvp|box
154,namsathy,rolePlay|rpg|factions
155,HimmelSky,minigames|gens|skyblock
156,PLEXBOX,box|gens|pvp
157,KeepInvbox,minigames|prison|pvp
158,AnewRPG,rpg
159,lowclicker,gens|farming|prison
160,LucidGenz,gens|farming
161,Sebibox,prison|box
162,NoobBoxZ,pvp|farming|box
163,BoxieDoxie,smp
164,Jishbox,pvp|box
165,DupeS3eal,smp|pvp|factions
166,SkyGlow,skyblock|farming|minigames
167,RexyMines,box
168,EuroDupe,oldPVP|pvp|factions
169,tanber,smp
170,Plzjoin555,smp|creative
171,Atomkit,pvp|box
172,DoggyBox,modded|farming|pvp
173,Flexed,oldPVP|pvp
174,hardcorevipp,smp|pvp
175,CrestSteal,smp|factions|pvp
176,ajustbox,gens|rpg
177,CobbleRPG,minigames|rpg|rolePlay
178,DoxxBox,box|pvp|farming
179,DupersLife,smp|pvp
180,rand0item,creative|modded|skyblock
181,RareSMP,smp|pvp
182,CatzBox,box|pvp
183,HighWindsSMP,smp|rolePlay
184,FarmCrops,farming
185,AnMintySMP,smp|modded
186,DemonBoxer,pvp
187,LaggySkyX,pvp|box
188,AtlasBox,rpg|box|pvp
189,Flawlessed,pvp|oldPVP|gens
190,chibby12,smp|pvp
191,Barricaded,prison|oldPVP|pvp
192,ReddzSMP,smp
193,WaxedIsPro,smp
194,DoomBoxHut,pvp|box
195,250x250BRDR,farming|prison|pvp
196,Unsecured,rolePlay|pvp|prison
197,survival814,rpg
198,BoxRift,pvp|gens|smp
199,OnlyBox111,pvp|gens
200,Apeirophobe,modded|rpg
201,boxhuntpvp,rpg|pvp|prison
202,Swaggbox,gens|pvp
203,Elected,pvp|gens
204,TNPDupe,smp|pvp
205,CookieSMP101,smp
206,CekDupe,pvp|farming|modded
207,UxBox,pvp|box|smp
208,Wiwibox,minigames|pvp|gens
209,DupeStealers,pvp
210,KitsCrazy,pvp|minigames
211,OmegaPvpz,oldPVP|farming|pvp
212,MalcolmIT,creative
213,SharntiesSMP,smp
214,Idealbox,prison|farming|oldPVP
215,NM2SMP,smp|pvp
216,WitherSG,smp|rpg
217,Wingbox,prison
218,SpringPR,prison
219,DawnS1eel,farming
220,Stealable,gens|pvp|factions
221,freegm1nice,creative
222,demokratia,smp|farming|rolePlay
223,ArchaicBox,box|pvp
224,icegreedo,smp
225,StormedRing,rpg
226,TropDC,minigames|pvp|oldPVP
227,KlashBox,pvp|box|farming
228,CatTheBox,pvp
229,theopenworld,rpg
230,SkyFaster,pvp|gens|prison
231,BoomBoxV1,pvp|farming
232,LaserPvP,prison|pvp|rolePlay
233,ChaosBoxx,pvp|box|prison
234,RoyalStealX,smp|factions|pvp
235,LegendsRPG,rpg|oldPVP|farming
236,NewJackSmp,smp
237,BusyIsDumb,smp
238,LemonNetwork,smp|pvp|creative
239,NitroNetwork,pvp|box
240,Smackdown,box|prison|pvp
241,vigilanceSCP,prison|rolePlay|pvp
242,Ariseking,pvp|minigames
243,FrostPrison,pvp|oldPVP
244,TheMindscape,smp|farming|rolePlay
